id,post_type,title,tokens,flags
91,page,Navigation,"{""hr"":1}",
864,page,Home,[],"dynamic:[ajax_load_more] — rebuild page on a CPT-archive template, do not convert"
891,page,"Panel 1: The Great Middle East",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
895,page,Contact,"{""info_box"":1}",
922,page,"International Conference • November 24-25, 2012",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
958,page,"Panel 2: Space Cooperation and Other Common Aims of Mankind",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1072,page,"Panel 3: The Alternative To World War and Chaos",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1078,page,"Panel 4: There Is Life After the Euro! What Kind of a Europe Do We Want?",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1087,post,"Two Opposing Worlds Meet; Development or Death","{""blockquote"":6}",
1092,page,"Stop Green Fascism","{""title_big"":1,""button"":1,""testimonial"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1103,page,"About Us","{""title_big"":1,""call_to_action_big"":2,""hr"":1,""toggle"":47,""wide_bar"":1,""one_half"":1,""one_half_last"":1,""one_third"":2,""one_third_last"":93,""two_third"":93,""two_third_last"":2,""one_fourth"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1158,page,"Toward a Renaissance of Classical Culture","{""title_big"":5,""title_small"":5,""button"":2,""image"":4,""call_to_action_big"":1,""hr"":6,""toggle"":4,""one_half"":4,""one_half_last"":4,""one_third_last"":4,""two_third"":4}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1161,page,"The World Land-Bridge","{""title_big"":4,""button"":1,""image"":1,""hr"":3,""testimonial"":1,""one_half"":1,""one_half_last"":1,""one_third_last"":1,""two_third"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1206,page,Kontakt,"{""button"":1,""info_box"":1}",
1238,page,"Classical Concert",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1244,page,Start,"{""title_big"":7,""title_small"":2,""button"":8,""image"":1,""call_to_action_big"":1,""info_box"":4,""wide_bar"":4,""one_half"":3,""one_half_last"":3,""one_third"":1,""one_third_last"":2,""two_third"":2,""two_third_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1256,page,Accueil,[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1351,page,"Panel Discussion",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1492,page,"Klassisches Konzert",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1498,page,"Thema 1: Großraum Nahost",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1503,page,"Thema 2: Raumfahrt und die gemeinsamen Ziele der Menschheit",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1505,page,"Thema 3: Die Alternative zu Weltkrieg und Chaos",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1507,page,"Thema 4: Es gibt ein Leben nach dem Euro! Was für ein Europa wollen wir?",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1515,page,Podiumsdiskussion,[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1666,page,"Über uns","{""title_big"":3,""title_small"":2,""wide_bar"":2,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1670,page,Contattaci!,"{""info_box"":1}",
1677,page,"""Grün"" bedeutet Tod","{""title_big"":1,""button"":2,""call_to_action_big"":1,""hr"":6,""info_box"":1,""testimonial"":1,""blockquote"":1,""one_half"":2,""one_half_last"":2,""one_third"":2,""one_third_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1681,page,"Die Weltlandbrücke aufbauen","{""title_big"":1,""button"":1,""testimonial"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1684,page,"Baut die Weltlandbrücke!","{""title_big"":2,""button"":2,""image"":1,""hr"":1,""testimonial"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1716,page,Contactez-nous !,"{""info_box"":1}",
1733,page,"Concert classique",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1736,page,"Panel I : Le grand Moyen-Orient",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1739,page,"Panel II : L’exploration spatiale et les buts communs de l’humanité",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1743,page,"Panel III : L’alternative à la guerre et au chaos",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1745,page,"Panel IV : Il y a une vie après l’euro !",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1747,page,"Table ronde",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1774,page,Контакты,"{""info_box"":1}",
1780,page,Contact,"{""info_box"":1}",
1801,page,Главная,[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert; dynamic:[ajax_load_more] — rebuild page on a CPT-archive template, do not convert"
1816,page,"Contact Us","{""info_box"":1}",
1850,page,"СЕКЦИОННОЕ ОСУЖДЕНИЕ: РЕНЕССАНС",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1851,page,"КОНЦЕРТ КЛАССИЧЕСКОЙ МУЗЫКИ",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1852,page,"ЗАСЕДАНИЕ 4 — ЕСТЬ ЖИЗНЬ ПОСЛЕ ЕВРО!",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1853,page,"ЗАСЕДАНИЕ 3 — АЛЬТЕРНАТИВА МИРОВОЙ ВОЙНЕ",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1854,page,"ЗАСЕДАНИЕ 2 — СОТРУДНИЧЕСТВО В КОСМОСЕ",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1856,page,"ЗАСЕДАНИЕ 1 — БОЛЬШОЙ БЛИЖНИЙ ВОСТОК",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
1875,page,"Построить мировой наземный мост","{""button"":1,""testimonial"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1876,page,"Начать новый Ренессанс","{""button"":1,""testimonial"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
1878,page,"Для «зеленой» политики человечеству места нет","{""button"":1,""testimonial"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
2014,page,¡Contáctenos!,"{""info_box"":1}",
2015,page,¡Contáctenos!,"{""info_box"":1}",
2194,page,Inicio,[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
2405,page,"Renaissance cut outs","{""hr"":1,""blockquote"":1}",
2407,page,"Renaissance Auschnitte","{""testimonial"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
2413,page,"SDE: Strategic Defense of Earth","{""title_big"":1,""title_small"":6,""image"":15,""hr"":4,""toggle"":9,""info_box"":2,""one_fourth"":3,""one_fourth_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
2814,page,"Frankfurt Conference • April 13 - 14, 2013","{""toggle"":1,""blockquote"":1}",
2822,page,"Frankfurt • 13. - 14. April 2013","{""title_big"":1,""toggle"":1,""blockquote"":1}",
3055,page,"ФРАНКФУРТ, ГЕРМАНИЯ ● 13 – 14 АПРЕЛЯ 2013 г.","{""title_big"":6,""title_small"":6,""toggle"":2,""blockquote"":1}",
3382,page,"Conférence de Francfort • 13 - 14 avril 2013","{""toggle"":1,""blockquote"":1}",
3804,post,"Schiller Institute To Present Mozart Requiem in Remembrance of President John F. Kennedy","{""hr"":2}",
3931,page,"San Francisco • June 29, 2013","{""hr"":1,""toggle"":2}",
3938,page,"A Remembrance of John F. Kennedy And a Recommitment to the Principles of His Presidency","{""button"":4,""image"":1,""hr"":5,""applause"":4,""toggle"":2}",
4259,page,"A Remembrance of John F. Kennedy And a Recommitment to the Principles of His Presidency","{""button"":4,""image"":1,""hr"":4,""applause"":4,""toggle"":2}",
4262,page,"A Remembrance of John F. Kennedy And a Recommitment to the Principles of His Presidency","{""button"":4,""image"":1,""hr"":4,""applause"":4,""toggle"":2}",
4265,page,"A Remembrance of John F. Kennedy And a Recommitment to the Principles of His Presidency","{""button"":4,""image"":1,""hr"":4,""applause"":4,""toggle"":2}",
4271,post,"The Schiller Institute Presents: A Tribute to John F. Kennedy — W.A. MOZART · REQUIEM","{""image"":1,""hr"":1,""blockquote"":1}",
4337,page,"A Tribute to John F. Kennedy",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
4338,page,"A Tribute to John F. Kennedy","{""title_small"":3,""button"":1,""hr"":2,""applause"":4,""toggle"":13,""testimonial"":4,""wide_bar"":3}",
4735,post,"Das Schiller-Institut feiert sein 30. Jubiläum!","{""button"":1}",
5123,post,"Helga Zepp-LaRouche: China, Contrary to the West, Is Not Operating on the Basis of Geopolitics","{""blockquote"":4}",
11053,page,,"{""title_big"":1,""wide_bar"":1}",
18463,post,"Helga Zepp-LaRouche: China, Contrary to the West, Is Not Operating on the Basis of Geopolitics","{""image"":2,""one_third_last"":1,""two_third"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
18512,post,"The New Silk Road Leads to the Future Of Mankind!","{""title_big"":1,""wide_bar"":1,""one_half"":2,""one_half_last"":2,""one_third_last"":1,""two_third"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
18762,page,TEST001,"{""image"":1,""hr"":6}",
18836,post,"China Expands Its Plans To Move Away from The Dollar Currency","{""title_small"":1,""one_third_last"":1,""two_third"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
19003,post,"Bolivia Asks China for $3 Billion for Major Infrastructure","{""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
19052,post,"India ""Creates History"" With Successful Mars Mission","{""title_small"":2,""image"":1,""one_fourth"":1,""one_fourth_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
19952,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014","{""title_big"":1,""button"":1,""hr"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
21273,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014","{""title_big"":1,""button"":1}",
21282,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014","{""title_big"":1,""button"":1}",
21284,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014","{""title_big"":1,""button"":1,""hr"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
21286,page,"30. Jahrestag der Gründung des Schiller-Instituts","{""title_big"":1,""button"":1,""hr"":1,""toggle"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
21824,post,"Ray McGovern Arrested for Attempting to Attend Speech with Former CIA Director","{""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
22599,page,"30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014","{""title_big"":1,""button"":1}",
23630,page,"New England Conference - Dec. 7th, 2014 - The U.S. Must Join the BRICS","{""title_big"":1,""button"":1}",
24315,page,"Livestream: January 17th International Schiller Institute Event","{""title_big"":2,""hr"":8,""applause"":1,""toggle"":8,""blockquote"":1,""wide_bar"":1,""one_third_last"":1,""two_third"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
24587,post,"LaRouche Hails Stunning Greek Electoral Repudiation of Troika","{""hr"":1,""blockquote"":2,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
24659,page,"Internationale Konference in New York 17. Januar 2015","{""hr"":1,""toggle"":4}",
24798,page,"The Manhattan Project","{""title_big"":3,""button"":4,""call_to_action_big"":1,""wide_bar"":4,""one_half"":3,""one_half_last"":3,""one_fourth_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
25050,page,"Archive: February 14th International Schiller Institute Event in NY","{""title_big"":2,""hr"":9,""wide_bar"":1,""one_half"":8,""one_half_last"":8}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
25248,post,"Schiller Institute Celebrates Dialogue of Cultures in Düsseldorf","{""image"":7,""one_half"":2,""one_half_last"":2}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
25698,post,"Das allerwichtigste ist die Beschäftigung mit der menschlichen Kreativität","{""wide_bar"":1,""one_half"":10,""one_half_last"":10}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
25753,post,"«Синьхуа» о выступлении Хельги Цепп-Ларуш в Нью-Йорке: США и Европа должны сотрудничать со странами БРИКС","{""hr"":2,""one_third"":1,""two_third_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
25797,page,Home,"{""title_big"":4,""button"":3,""hr"":3,""toggle"":1,""wide_bar"":1,""one_half"":2,""one_fourth"":3,""one_fourth_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
25933,page,"Berlin Konferenz","{""title_big"":1,""hr"":6,""toggle"":3,""one_half"":6,""one_half_last"":6,""one_third_last"":1,""two_third"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
29495,page,"Schiller Institute Conference  •  Paris • Press Release","{""title_big"":1}",
29526,post,"Two Opposing Worlds Meet; Development or Death","{""blockquote"":6}",
29528,page,"l'Institut de Schiller  •  Paris • Communiqué de presse","{""title_big"":1}",
29529,page,"Internationale Konferenz des Schiller-Instituts Presseerklärung","{""title_big"":1}",
30979,page,首页,"{""title_big"":2,""button"":2,""hr"":2,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
32356,post,"Zepp-LaRouche Presents EIR's New Silk Road Report at Beijing Symposium","{""blockquote"":6,""one_half"":4,""one_half_last"":4}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
32417,page,"Jetzt Spenden","{""title_big"":1,""blockquote"":1,""one_half"":1,""one_half_last"":1,""one_third"":1,""two_third_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
32438,post,"In the Face of the Refugee Crisis: Realizing a Grand Vision",[],
32726,post,"Хельга Цепп-Ларуш представила доклад EIR о Новом шёлковом пути на симпозиуме в Пекине","{""hr"":1}",
32872,post,"ZEPP-LAROUCHE: THE NEED OF GLOBAL PUBLIC WORKS–THE NEW SILK ROAD BECOMES THE WORLD LAND-BRIDGE","{""hr"":2}",
33017,post,"Ukrainian Government in Chaos, Leftist Opposition Appeals against Police-State Repression","{""title_big"":1,""hr"":2}",
33029,post,"Helga Zepp-LaRouche Speaks in New Delhi","{""hr"":1,""applause"":1,""toggle"":1}",
33289,post,"Die Neue Seidenstraße als neues Paradigma für die Menschheit","{""hr"":1}",
33303,page,"Helga Zepp-LaRouche","{""title_big"":4,""title_small"":19,""button"":7,""call_to_action_big"":1,""hr"":17,""one_half"":8,""one_half_last"":8}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
33542,page,"HZL : weltweite Aktivitäten für die Neue Seidenstraße","{""title_big"":3,""title_small"":5,""button"":13,""hr"":9,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
33639,post,"Die Notwendigkeit von Großprojekten:  Die Neue Seidenstraße wird zur Weltlandbrücke","{""hr"":1}",
33645,post,"Krieg verhindern mit Wirtschaftsaufbau und kultureller Renaissance",[],
33673,post,"„Das allerwichtigste ist die Beschäftigung mit der menschlichen Kreativität“","{""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
33839,post,"Egyptian Transportation Minisitry sponsored launching of Arabic version of EIR's ""World Land Bridge"" Report","{""title_small"":1,""hr"":1,""one_half"":6,""one_half_last"":6}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
33906,post,"Ägyptisches Verkehrsministerium unterstützt Veröffentlichung der arabischen Ausgabe des EIR-Reports zur Weltlandbrücke","{""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
33985,post,"EIR Seminar in Frankfurt on New Silk Road for Mideast and Africa","{""one_half"":2,""one_half_last"":2}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
34087,post,"Manhattan Conference: Building A World Land-Bridge—Realizing Mankind's True Humanity, April 7th","{""hr"":6,""applause"":7,""toggle"":2,""one_half"":2,""one_half_last"":2}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
34132,post,"Landbrücken-Konferenz des Schiller-Instituts in New York","{""one_half"":2,""one_half_last"":2}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
34159,post,"Strategic Seminar","{""hr"":6}",
35648,page,"Conferenza Internazionale dello Schiller Institute, Berlino, 25-26 giugno 2016","{""title_big"":1,""tabs"":1}",
35653,page,"Conferenza Internazionale dello Schiller Institute, Berlino, 25-26 giugno 2016","{""title_big"":2,""call_to_action_big"":1,""call_to_action_bar"":1,""hr"":2,""tabs"":1,""one_half"":3,""one_half_last"":3}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
36506,page,"Musical Dialogue of Cultures","{""call_to_action_big"":1,""hr"":20,""wide_bar"":1,""tabs"":2,""one_half"":4,""one_half_last"":4,""one_third"":6,""one_third_last"":11,""two_third"":11,""two_third_last"":6}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
36775,page,"MUSIKALISCHER DIALOG DER KULTUREN","{""call_to_action_big"":1,""hr"":19,""wide_bar"":1,""tabs"":2,""one_half"":3,""one_half_last"":3,""one_third"":6,""one_third_last"":11,""two_third"":11,""two_third_last"":6}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
37371,post,"9/11 Memorial Concert","{""applause"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
37397,post,"Erfolgreiche Konferenz des Schiller-Instituts in Lyon und Essen: Europa muß die Chancen der Neuen Seidenstraße ergreifen!","{""title_big"":1,""title_small"":11,""button"":2,""hr"":11,""toggle"":1,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
37437,post,"Deutschlands Potential beim Ausbau der Weltlandbrücke","{""hr"":1}",
37447,page,"Schiller Institute Leads Living Memorial to Victims of 9/11","{""title_big"":3,""title_small"":5,""button"":1,""hr"":6,""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
37470,post,"Проект «Феникс»: тезисы для обсуждения восстановления Сирии","{""one_half"":4,""one_half_last"":4}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
37533,post,"Соболезнование Х. Цепп-Ларуш в связи с кончиной академика М.Л. Титаренко","{""hr"":1}",
37581,post,"ВОССТАНОВИТЬ ИДЕЮ ШЕЛКОВОГО ПУТИ","{""title_small"":1}",
37623,post,"Open Letter from Chairman of the Progressive Socialist Party of Ukraine Natalia Vitrenko","{""hr"":1}",
37630,post,"Открытое обращение Председателя Прогрессивной социалистической партии Украины Наталии Витренко","{""hr"":1}",
37638,post,"Ein Offener Brief der Vorsitzenden der Progressiven Sozialistischen Partei der Ukraine, Natalja Witrenko","{""hr"":1}",
37645,page,"The Inalienable Rights of Man","{""title_big"":1,""call_to_action_big"":1,""hr"":4,""one_half"":2,""one_half_last"":2}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
37692,post,"Ein Vorgeschmack auf die Renaissance","{""hr"":1}",
37718,post,"Ein Vorgeschmack auf die Renaissance","{""hr"":1}",
37789,post,"Message of condolence to the Alexandrov Ensemble and the People of Russia","{""hr"":2}",
37795,post,"Kondolenzbotschaft an das Alexandrow-Ensemble und an das russische Volk","{""hr"":1}",
37799,post,"Акция хора Шиллеровского института в Нью-Йорке в память погибших в авиакатастрофе 25 декабря 2016 года","{""hr"":2}",
37802,post,"Акция хора Шиллеровского института в Нью-Йорке в память погибших в авиакатастрофе 25 декабря 2016 года","{""hr"":2}",
37808,post,"Historic Schiller Institute Memorial To Tu-154 Disaster at the Tear-Drop Memorial in Bayonne, New Jersey","{""hr"":1}",
37821,post,"Schiller-Institut Chor bei Gedenkfeier für Alexandrow Ensemble in Bayonne/USA","{""hr"":1}",
37824,post,"Акция хора Шиллеровского института в Нью-Йорке в память погибших в авиакатастрофе 25 декабря 2016 года","{""hr"":2}",
37852,page,"International Conferences",[],"dynamic:[portfolio] — rebuild page on a CPT-archive template, do not convert"
38457,page,"TEST - Home / About us Page",[],"dynamic:[ajax_load_more] — rebuild page on a CPT-archive template, do not convert"
38721,post,"Schiller Institute Concert in Denmark: Musical Dialogue of Cultures","{""tabs"":1}",
38752,post,"Message of Helga Zepp-LaRouche to the Berlin Conference on ""The Forgotten War Crimes in Yemen""","{""one_half"":1,""one_half_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
38924,page,"Recent news",[],"dynamic:[ajax_load_more] — rebuild page on a CPT-archive template, do not convert"
40114,post,"The Dream of American Politician Lyndon LaRouche Becomes True One Third of a Century Later","{""hr"":1}",
40546,page,"Beautiful Souls: Friends and Associates of the Schiller Institute","{""title_big"":5,""hr"":4,""one_third"":1,""two_third_last"":1}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
40932,page,"On the Centennial of the German-American Space Pioneer: ""Realizing Krafft Ehricke’s Vision for the Future of Mankind""","{""title_big"":1,""hr"":3,""one_third_last"":2,""two_third"":2}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
41027,page,"New Silk Road: A Global Infrastructure Renaissance","{""title_big"":1,""button"":7,""hr"":8,""one_third_last"":8,""two_third"":8}","layout-columns converted to si-col divs — needs visual QA (+ .si-col CSS in theme)"
